Disease,What is it?,Symptoms,Cause,Prevention,Treatment,Why it matters
Anxiety disorders,"Key facts Anxiety disorders are the world’s most common mental disorders, affecting 301 million people in 2019. More women are affected by anxiety disorders than men. ",Symptoms of anxiety often have onset during childhood or adolescence. There are highly effective treatments for anxiety disorders. ,"Everyone can feel anxious sometimes, but people with anxiety disorders often experience fear and worry that is both intense and excessive. These feelings are typically accompanied by physical tension and other behavioural and cognitive symptoms. They are difficult to control, cause significant distress and can last a long time if untreated. Anxiety disorders interfere with daily activities and can impair a person’s family, social and school or working life. An estimated 4% of the global population currently experience an anxiety disorder (1). In 2019, 301 million people in the world had an anxiety disorder, making anxiety disorders the most common of all mental disorders (1). ","Contributing factors and prevention Anxiety disorders, like other mental health conditions, result from a complex interaction of social, psychological and biological factors. Anyone can have an anxiety disorder, but people who have lived through abuse, severe losses or other adverse experiences are more likely to develop one. ",Approximately 1 in 4 people with anxiety disorders receive treatment for this condition. Overview ,"Anxiety disorders are closely related to and affected by physical health. Many of the impacts of anxiety (such as physical tension, nervous system hyperactivity or harmful use of alcohol) are also known risk factors for diseases such as cardiovascular disease. In turn, people with these diseases may also find themselves experiencing anxiety disorders due to the difficulties associated with managing their conditions. Effective community based approaches to prevent anxiety include parental education and school-based programmes to enhance social and emotional learning and build positive coping in children and adolescents. Exercise programmes can also be effective in preventing anxiety disorders in adults. "
Arsenic,"Overview Arsenic is a natural component of the earth’s crust and is widely distributed throughout the environment in the air, water and land. It is highly toxic in its inorganic form. People are exposed to elevated levels of inorganic arsenic through drinking contaminated water, using contaminated water in food preparation and irrigation of food crops, industrial processes, eating contaminated food and smoking tobacco. ","The immediate symptoms of acute arsenic poisoning include vomiting, abdominal pain and diarrhoea. These are followed by numbness and tingling of the extremities, muscle cramping and death, in extreme cases. Long-term effects ",People who smoke tobacco can also be exposed to the natural inorganic arsenic content of tobacco because tobacco plants can take up arsenic naturally present in the soil. The potential for elevated arsenic exposure was much greater in the past when tobacco plants were treated with lead arsenate insecticide. Health effects ,"Prevention and control The most important action in affected communities is the prevention of further exposure to arsenic by the provision of a safe water supply for drinking, food preparation and irrigation of food crops. There are a number of options to reduce levels of arsenic in drinking-water. ","Arsenic is one of WHO’s 10 chemicals of major public health concern. WHO’s work to reduce arsenic exposure includes setting guideline values, reviewing evidence and providing risk management recommendations. WHO publishes a guideline value for arsenic in its Guidelines for drinking-water quality. The Guidelines are intended for use as the basis for regulation and standard setting worldwide. The current recommended limit of arsenic in drinking-water is 10 μg/L, although this guideline value is designated as provisional because of practical difficulties in removing arsenic from drinking-water. Every effort should therefore be made to keep concentrations as low as reasonably possible and below the guideline value when resources are available. ","Arsenic is also associated with adverse pregnancy outcomes and infant mortality, with impacts on child health (1), and exposure in utero and in early childhood has been linked to increases in mortality in young adults due to multiple cancers, lung disease, heart attacks and kidney failure (2). Numerous studies have demonstrated negative impacts of arsenic exposure on cognitive development, intelligence and memory (3). Magnitude of the problem "
Asbestos,"Key facts All forms of asbestos, including chrysotile, are carcinogenic to humans. Systematic review evidence indicates that a substantial proportion of manual workers in the construction industry globally are exposed to asbestos. Overview ",,"Globally, more than 200 000 deaths are estimated to be caused by occupational exposure to asbestos – more than 70% of all deaths from work-related cancers. The use of asbestos has been prohibited in more than 50 WHO Member States. ","Asbestos-related diseases can be prevented, and the most efficient way to prevent them is to stop the use of all forms of asbestos to prevent exposure, as more than 50 WHO Member States have already done through legal measures, and to use low hazard materials instead. Preventing asbestos exposure also means protecting workers during maintenance work where asbestos is already in place, and during asbestos removal. Why is asbestos a problem? ","Asbestos-related diseases can be prevented, and the most efficient way to prevent them is to stop the use of all forms of asbestos to prevent exposure. More than 50 WHO Member States have legislated to prohibit the use of asbestos. Decisions to take legislative action have considered a range of costs and benefits, including the costs of providing healthcare and the loss of workforce productivity, in addition to conventional economic and trade considerations. Preventing asbestos exposure also means protecting workers during maintenance work where asbestos is in place, and during asbestos removal. Challenges ","Impact According to WHO and the International Labour Organization (latest WHO/ILO Joint Estimates), exposure to asbestos at work causes more than 200 000 deaths globally every year (based on estimates for 2016). This represents over 70% of deaths from work-related cancers. In addition to this estimate of mortality, exposure to asbestos is also estimated to cause a substantial burden of ill health (loss of nearly 4 million disability-adjusted life years – a standardized measure of ill-health). A substantial level of deaths and ill health are also attributed to exposure to asbestos outside the workplace. It has also been shown that co-exposure to tobacco smoke and asbestos fibres substantially increases the risk for lung cancer – and the heavier the smoking, the greater the risk. "
Assistive technology,Key facts Overview ,,,"therapeutic footwear for diabetes reduces the incidence of foot ulcers, preventing amputations and the associated impact on individuals and burden on health-care systems; and timely provision of assistive technology for older people can improve their independence and safety as well as enable them to live at home for as long as possible. ","Assistive products can range from physical products such as wheelchairs, glasses, prosthetic limbs, white canes, and hearing aids to digital solutions such as speech recognition or time management software and captioning. Most people who use assistive technology use more than one product, making integrated services important. ","Assistive technology can positively impact a person, their family and friends, and has broader socioeconomic benefits. For example: early provision of hearing aids for young children supports their development of language and communication skills, limiting negative impacts on their education, future employment and community participation; "
Asthma,Overview ,"Symptoms can include coughing, wheezing, shortness of breath and chest tightness. These symptoms can be mild or severe and can come and go over time. Although asthma can be a serious condition, it can be managed with the right treatment. People with symptoms of asthma should speak to a health professional. ","Asthma is a chronic lung disease affecting people of all ages. It is caused by inflammation and muscle tightening around the airways, which makes it harder to breathe. Symptoms can include coughing, wheezing, shortness of breath and chest tightness. These symptoms can be mild or severe and can come and go over time. ",Asthma is included in the WHO Global Action Plan for the Prevention and Control of NCDs and the United Nations 2030 Agenda for Sustainable Development. WHO is taking action to extend diagnosis of and treatment for asthma in a number of ways. ,"People with under-treated asthma can suffer sleep disturbance, tiredness during the day, and poor concentration. Asthma sufferers and their families may miss school and work, with financial impact on the family and wider community. If symptoms are severe, people with asthma may need to receive emergency health care and they may be admitted to hospital for treatment and monitoring. In the most severe cases, asthma can lead to death. Symptoms ","Impact Asthma is often under-diagnosed and under-treated, particularly in low- and middle-income countries. "
Autism,"Overview Autism spectrum disorders (ASD) are a diverse group of conditions. They are characterized by some degree of difficulty with social interaction and communication. Other characteristics are atypical patterns of activities and behaviours, such as difficulty with transition from one activity to another, a focus on details and unusual reactions to sensations. ",,"Causes Available scientific evidence suggests that there are probably many factors that make a child more likely to have autism, including environmental and genetic factors. ","People with autism require accessible health services for general health-care needs like the rest of the population, including promotive and preventive services and treatment of acute and chronic illness. Nevertheless, autistic people have higher rates of unmet health-care needs compared with the general population. They are also more vulnerable during humanitarian emergencies. A common barrier is created by health-care providers’ inadequate knowledge and understanding of autism. WHO resolution on autism spectrum disorders ","The abilities and needs of autistic people vary and can evolve over time. While some people with autism can live independently, others have severe disabilities and require life-long care and support. Autism often has an impact on education and employment opportunities. In addition, the demands on families providing care and support can be significant. Societal attitudes and the level of support provided by local and national authorities are important factors determining the quality of life of people with autism. Characteristics of autism may be detected in early childhood, but autism is often not diagnosed until much later. ",
Bacterial vaginosis,Key facts Overview ,Signs and symptoms Some women with BV may not notice any symptoms whereas others might express: ,Bacterial vaginosis (BV) is a very common cause of vaginal discharge among women of reproductive age. It is treatable and curable. ,"The exact cause of BV is not known. While many “good” bacteria are normally found in the healthy vagina, BV results from an imbalance between “good” and “harmful” bacteria micro-organisms. More specifically, an overgrowth of pathogens such as Gardnerella spp., Prevotella spp., Mobilincus spp., Megaspahera spp., Sneathea spp. and mixed vaginal anaerobes species would eventually replace the “beneficial” lactobacilli that helps maintain a healthy vaginal environment. The exact cause of this imbalance is not known but has been attributed to douching and having unprotected sex with a new or several sex partners. Signs and symptoms ","Although it occurs globally, it is more common in low-resource settings and areas with limited access to healthcare. The exact cause of BV is not known. While many “good” bacteria are normally found in the healthy vagina, BV results from an imbalance between “good” and “harmful” bacteria micro-organisms. More specifically, an overgrowth of pathogens such as Gardnerella spp., Prevotella spp., Mobilincus spp., Megaspahera spp., Sneathea spp. and mixed vaginal anaerobes species would eventually replace the “beneficial” lactobacilli that helps maintain a healthy vaginal environment. The exact cause of this imbalance is not known but has been attributed to douching and having unprotected sex with a new or several sex partners. ","WHO works with partners and Member States to reduce the burden of bacterial vaginosis globally. This work includes developing research and evidence to better understand the epidemiology, burden and impact of BV, particularly in low- and middle-income countries. In 2021, the Department of Global HIV, Hepatitis and STIs Programmes at WHO published Guidelines for the management of symptomatic sexually transmitted infections to provide updated, evidence-informed clinical and practical recommendations on case management of people with STIs. "
Biodiversity,"Key facts More than 75% of global food crops rely on pollinators, contributing US$ 235–577 billion annually to global agricultural output. Over 50% of modern medicines are derived from natural sources, including antibiotics from fungi and painkillers from plant compounds. ",,"People depend on biodiversity in many ways. Human health relies on ecosystem resources, products and services (such as fresh water, food and fuel sources; the regulation of crop pests and diseases; and the regulation of air, water and soil quality) which are needed for good health and productive livelihoods. Biodiversity loss can have significant direct health impacts if ecosystem services no longer meet societal needs. Changes in ecosystems can affect livelihoods, income, local migration and may even cause or increase political conflict. Significant medical and pharmacological discoveries are made through greater understanding of the Earth's biodiversity. Biological diversity of microorganisms, flora and fauna provides extensive benefits for biological, health, and pharmacological sciences. It is also the source of traditional and complementary medicines. ","Indigenous Peoples, representing an estimated 6% of the global population, are crucial stakeholders and rights holders in the conservation and sustainable management of biodiversity. They manage over 38 million square kilometres of land globally, which includes nearly 40% of all protected areas. Overview ","Biodiversity loss also has profound economic consequences, particularly in sectors like agriculture, fisheries and healthcare. It is estimated that the global economic impact of biodiversity loss amounts to US$ 10 trillion annually, including healthcare costs from increased disease transmission and agricultural losses from pollinator declines. For example, the decline in bee populations, which are responsible for pollinating crops worth over US$ 235 billion annually, threatens global food security and nutrition. Threats to biodiversity and health ","Impact People depend on biodiversity in many ways. Human health relies on ecosystem resources, products and services (such as fresh water, food and fuel sources; the regulation of crop pests and diseases; and the regulation of air, water and soil quality) which are needed for good health and productive livelihoods. Biodiversity loss can have significant direct health impacts if ecosystem services no longer meet societal needs. Changes in ecosystems can affect livelihoods, income, local migration and may even cause or increase political conflict. "
Bipolar disorder,"Key facts Bipolar disorder is a mental health condition that affects a person’s mood, energy, activity and thought and is characterized by manic (or hypomanic) and depressive episodes. An estimated 40 million people live with bipolar disorder worldwide. ",Symptoms and patterns Bipolar disorder is a mental health condition characterized by mood swings from one extreme to another. ,"Bipolar disorder is one of the leading causes of disability globally as it can affect many areas of life. People with bipolar disorder may experience strained relationships, problems at school or work, and difficulties in carrying out daily activities. Having bipolar disorder also increases the risk of suicide and of developing anxiety and substance use disorders. People with bipolar disorder are more likely to smoke, use alcohol, have a physical health condition (e.g. cardiovascular or respiratory disease), and experience difficulties in accessing health care. On average, people with bipolar disorder die more than 10 years earlier than the general population (2). ","Both manic and depressive episodes can cause significant difficulties in all aspects of life, including at home, work and school. They may require specialized care to prevent the person from doing harm to themselves or others. Some people with bipolar disorder may experience what are called hypomanic episodes. Hypomanic episodes involve similar symptoms to manic episodes, but the symptoms are less intense and do not typically disrupt the person’s ability to function to the same extent. ","There are a range of effective care options, which combine medicines and psychosocial interventions to help people with bipolar disorder stay well. Overview ",
Blindness and vision impairment,"Overview Vision, the most dominant of our senses, plays a critical role in every facet and stage of our lives. We take vision for granted, but without vision, we struggle to learn, to walk, to read, to participate in school and to work. ","Treatment is also available for many eye conditions that do not typically cause vision impairment, such as dry eye, conjunctivitis and blepharitis, but generate discomfort and pain. Treatment of these conditions is directed at alleviating the symptoms and preventing the evolution towards more severe stages of those diseases. Vision rehabilitation is very effective in improving functioning for people with an irreversible vision loss that can be caused by eye conditions such as diabetic retinopathy, glaucoma, consequences of trauma, and age-related macular degeneration. ","Vision impairment has serious consequences for the individual across the life course. Many of these consequences can be mitigated by timely access to quality eye care. Eye conditions that can cause vision impairment and blindness – such as cataract or refractive error – are, for good reasons, the main focus of eye care strategies; nevertheless, the importance of eye conditions that do not typically cause vision impairment – such as dry eye or conjunctivitis – must not be overlooked. These conditions are frequently among the leading reasons for presentation to eye care services. Causes ","Globally, at least 2.2 billion people have a near or distance vision impairment. In at least 1 billion – or almost half – of these cases, vision impairment could have been prevented or has yet to be addressed. Among this 1 billion people, the main conditions causing distance vision impairment or blindness are cataract (94 million), refractive error (88.4 million), age-related macular degeneration (8 million), glaucoma (7.7 million), diabetic retinopathy (3.9 million) (1). The main condition causing near vision impairment is presbyopia (826 million) (2). ","Vision impairment occurs when an eye condition affects the visual system and its vision functions. Everyone, if they live long enough, will experience at least one eye condition in their lifetime that will require appropriate care. Vision impairment has serious consequences for the individual across the life course. Many of these consequences can be mitigated by timely access to quality eye care. Eye conditions that can cause vision impairment and blindness – such as cataract or refractive error – are, for good reasons, the main focus of eye care strategies; nevertheless, the importance of eye conditions that do not typically cause vision impairment – such as dry eye or conjunctivitis – must not be overlooked. These conditions are frequently among the leading reasons for presentation to eye care services. ",Impact of vision impairment Personal impact 
